id_tiempo,hora,mes,anio,id_edificio,id_ambiente,ocupacion,temperatura,demanda_pico_kw,factor_potencia,consumo_kwh,nombre_edificio,tipo_ambiente,nombre_mes,periodo,franja_horaria,eficiencia_energetica_pct,riesgo_energetico_indice,pred_consumo_kwh,sobreconsumo_real,riesgo_sobreconsumo_prob,riesgo_sobreconsumo_pred
1,17,1,2026,2,101,54,22.1,33.02,0.924,300.17,Pabellón B,Administrativo,Ene,2026-01,Tarde,45.42,Bajo,352.36,0,0.052,Bajo
2,7,1,2026,1,105,46,25.05,47.9,0.936,372.24,Pabellón A,Biblioteca,Ene,2026-01,Mañana,20.8,Bajo,392.5,0,0.108,Bajo
3,15,1,2026,7,114,38,25.11,58.32,0.861,560.0,Auditorio,Aula,Ene,2026-01,Tarde,0.0,Alto,559.98,1,0.97,Alto
4,10,1,2026,6,106,63,25.48,42.26,0.941,466.48,Comedor,Auditorio,Ene,2026-01,Mañana,27.11,Medio,494.52,0,0.12,Bajo
5,18,1,2026,8,134,90,29.14,57.39,0.926,560.0,Edificio 8,Oficina,Ene,2026-01,Noche,38.46,Alto,558.83,1,0.892,Alto
6,10,1,2026,12,104,41,26.42,32.75,0.906,381.99,Edificio 12,Oficina,Ene,2026-01,Mañana,9.05,Bajo,391.35,0,0.011,Bajo
7,8,1,2026,7,117,15,25.99,47.2,0.942,437.83,Auditorio,Biblioteca,Ene,2026-01,Mañana,0.0,Bajo,446.36,0,0.2,Bajo
8,8,1,2026,10,140,23,26.66,52.34,0.93,462.05,Edificio 10,Oficina,Ene,2026-01,Mañana,0.0,Medio,481.19,0,0.251,Bajo
9,17,1,2026,12,135,58,26.96,62.65,0.897,560.0,Edificio 12,Biblioteca,Ene,2026-01,Tarde,5.08,Alto,559.09,1,0.916,Alto
10,8,1,2026,4,158,34,30.09,33.75,0.887,290.14,Biblioteca,Oficina,Ene,2026-01,Mañana,17.1,Bajo,281.41,0,0.032,Bajo
11,21,1,2026,11,129,62,25.64,68.0,0.86,560.0,Edificio 11,Biblioteca,Ene,2026-01,Noche,11.11,Alto,556.58,1,0.835,Alto
12,12,1,2026,4,108,67,23.04,29.62,0.928,309.49,Biblioteca,Aula,Ene,2026-01,Tarde,54.49,Bajo,318.99,0,0.03,Bajo
13,19,1,2026,11,127,37,22.67,31.19,0.885,328.3,Edificio 11,Laboratorio,Ene,2026-01,Noche,13.61,Bajo,355.3,0,0.007,Bajo
14,17,1,2026,12,107,37,22.8,31.33,0.904,418.49,Edificio 12,Administrativo,Ene,2026-01,Tarde,0.0,Bajo,379.28,0,0.022,Bajo
15,13,1,2026,3,129,90,24.45,68.0,0.805,560.0,Laboratorio Central,Biblioteca,Ene,2026-01,Tarde,38.46,Alto,557.14,1,0.922,Alto
16,17,1,2026,5,153,54,21.71,48.19,0.949,560.0,Administrativo,Biblioteca,Ene,2026-01,Tarde,0.0,Medio,554.79,1,0.812,Alto
17,19,1,2026,9,158,74,24.36,54.65,0.921,523.93,Edificio 9,Oficina,Ene,2026-01,Noche,30.14,Alto,540.24,0,0.497,Medio
18,7,1,2026,4,156,38,23.24,22.9,0.902,114.23,Biblioteca,Aula,Ene,2026-01,Mañana,70.71,Bajo,146.42,0,0.011,Bajo
19,15,1,2026,3,108,26,18.22,18.5,0.952,219.9,Laboratorio Central,Aula,Ene,2026-01,Tarde,18.56,Bajo,232.57,0,0.025,Bajo
20,19,1,2026,12,144,43,25.13,34.56,0.968,328.82,Edificio 12,Aula,Ene,2026-01,Noche,25.27,Bajo,369.53,0,0.002,Bajo
21,15,1,2026,8,107,55,25.44,45.62,0.917,490.17,Edificio 8,Administrativo,Ene,2026-01,Tarde,12.47,Medio,503.24,0,0.145,Bajo
22,7,1,2026,4,104,56,29.28,28.23,0.937,204.14,Biblioteca,Oficina,Ene,2026-01,Mañana,64.19,Bajo,207.43,0,0.004,Bajo
23,10,1,2026,9,108,47,18.23,21.7,0.896,256.16,Edificio 9,Aula,Ene,2026-01,Mañana,46.63,Bajo,265.52,0,0.038,Bajo
24,17,1,2026,7,122,60,21.37,38.77,0.902,361.22,Auditorio,Oficina,Ene,2026-01,Tarde,40.78,Bajo,397.66,0,0.052,Bajo
25,8,1,2026,1,125,49,19.01,37.43,0.927,300.01,Pabellón A,Administrativo,Ene,2026-01,Mañana,40.0,Bajo,289.87,0,0.006,Bajo
26,14,1,2026,4,155,65,27.23,54.89,0.943,560.0,Biblioteca,Administrativo,Ene,2026-01,Tarde,15.15,Alto,559.9,1,0.893,Alto
